Problem,Solution Length,Worse Rate,Parametr changed,n,min_temperature,max_temperature,probability_of_shuffle,probability_of_heuristic,a,b,duration_of_execution_in_seconds,k,max_length_percent_of_cycle,swap_states_probability,closeness,cooling_rate
ftv35,1737,-15.198618307426585,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
br17,39,0.0,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
rbg323,1734,-23.529411764705884,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
rbg358,1793,-35.13664249860568,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
rbg443,3839,-29.14821568116696,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
rbg403,3509,-29.752066115702476,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ft70,42089,-8.116134857088554,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ftv170,3811,-27.709262660718963,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ftv47,2216,-19.855595667870034,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
ftv70,2404,-18.885191347753747,a,20,0.1,100,0.4,0.6,4,2,10,20,0.3,0.1,1.5,0.95
p43,5658,-0.671615411806286,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ry48p,16226,-11.117958831504993,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ftv44,1859,-13.232920925228626,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ftv64,2401,-23.40691378592254,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ftv33,1516,-15.171503957783642,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
kro124p,45720,-20.756780402449692,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ftv38,1617,-5.380333951762523,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ftv55,1878,-14.376996805111816,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ft53,8537,-19.116785756120407,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ftv35,1626,-9.40959409594096,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
br17,39,0.0,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
rbg323,1717,-22.772277227722768,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
rbg358,1763,-34.03289846851956,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
rbg443,3850,-29.35064935064935,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
rbg403,3432,-28.175990675990676,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ft70,42293,-8.559336060340954,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ftv170,3805,-27.595269382391592,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ftv47,2153,-17.510450534138414,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
ftv70,2357,-17.267713194739073,a,20,0.1,100,0.4,0.6,2,2,10,20,0.3,0.1,1.5,0.95
p43,5654,-0.6013441811107185,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ry48p,16033,-10.048025946485367,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv44,1891,-14.701216287678477,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv64,2368,-22.33952702702703,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv33,1538,-16.384915474642398,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
kro124p,45430,-20.25093550517279,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv38,1616,-5.3217821782178305,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv55,1924,-16.42411642411642,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ft53,8530,-19.05041031652989,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv35,1729,-14.80624638519376,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
br17,39,0.0,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg323,1734,-23.529411764705884,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg358,1799,-35.352973874374655,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg443,3820,-28.795811518324612,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
rbg403,3475,-29.064748201438846,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ft70,41838,-7.564893159328847,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv170,3828,-28.03030303030303,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv47,2095,-15.226730310262525,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
ftv70,2351,-17.0565716716291,a,20,0.1,100,0.4,0.6,3,2,10,20,0.3,0.1,1.5,0.95
p43,5649,-0.5133651973800681,a,20,0.1,100,0.4,0.6,1,2,10,20,0.3,0.1,1.5,0.95
ry48p,16101,-10.427923731445247,a,20,0.1,100,0.4,0.6,1,2,10,20,0.3,0.1,1.5,0.95
